,Date,Price,RSI,MovingAverage10,EMA10,MovingAverage21,EMA21,MovingAverage50,EMA50,LowerBB,MidBB,UpperBB,MACD1,MACD2,MACD3,Momentum12,RoC12,Momentum14,RoC14,Momentum21,RoC21,AvgSentiment,TweetFreq
1707,2015-03-21,261.18429748685,41.032624522715984,277.2760231735826,272.0309540925103,278.39808097464584,271.4674842014788,252.78388225599068,265.3921805658604,255.58364104031307,279.28541848334305,302.98719592637303,3.1670390180000254,7.764040875260635,-4.59700185726061,0.9002317731580401,-0.0997682268419598,0.9449389470156492,-0.0550610529843507,1.0244592542287845,0.0244592542287843,1.0,0.0056642071481471
1708,2015-03-22,268.899415838691,46.481926808439454,274.58593027469306,271.4615835009068,278.79084692883583,271.23402344122536,253.8152274517826,265.5297192040106,254.7884333735864,278.91425859146705,303.0400838093477,2.621557479191381,6.735544196046785,-4.113986716855404,0.9198791168050524,-0.0801208831949475,0.9766155878704644,-0.0233844121295355,1.0316441316936789,0.0316441316936789,1.0,0.0053899114024741
1709,2015-03-23,266.777992986558,35.18967790211755,272.67262694330793,270.610021589207,278.3363411817095,270.8289297635283,254.6085612857978,265.57867111705167,253.47305663022303,278.11786319403865,302.76266975785427,1.995080291302827,5.787451415097994,-3.792371123795167,0.8991708495111744,-0.1008291504888255,0.9195117316649708,-0.0804882683350293,0.965458416295819,-0.034541583704181,1.0,0.0066105274707189
1710,2015-03-24,246.835082992402,26.45437754213455,268.9953046171829,266.287305480697,276.6282069939607,268.6476709661532,254.74341454704853,264.8436284454968,248.47923502124323,276.78724051724146,305.0952460132397,-0.1093727789847207,4.608086576281451,-4.717459355266172,0.8344651631027525,-0.1655348368972474,0.8443991498879333,-0.1556008501120666,0.8731161329704417,-0.1268838670295583,1.0,0.0053761966151904
1711,2015-03-25,246.719136762127,22.93798217362753,264.94020409117473,262.7294566227752,275.35542605271223,266.6541678566963,255.1222833664524,264.1328640657568,243.96601575216005,275.30975689655173,306.6534980409434,-1.7661636555113205,3.333236529922897,-5.0994001854342175,0.8629227769022704,-0.1370772230977296,0.8315628036239227,-0.1684371963760773,0.9022540114803764,-0.0977459885196234,1.0,0.0058424993828345
1712,2015-03-26,249.532993571011,25.455920732540363,260.7542916423144,260.3300997042726,274.0822919762879,265.0976974670885,255.57732055523084,263.5603201247864,240.72106400437576,274.12050083284623,307.5199376613167,-2.8196247545826623,2.102664273021785,-4.922289027604448,0.8798507944539333,-0.1201492055460667,0.8435858778881986,-0.1564141221118014,0.9032253561860278,-0.0967746438139721,1.0,0.0078311435389637
1713,2015-03-27,247.378898305085,27.73182167231917,256.9673418176505,257.9753358135112,272.84709118866715,263.48689754327,256.1846754997078,262.9257545632295,237.22766624349416,272.66927787843366,308.11088951337314,-3.784690198093188,0.9251933787987908,-4.709883576891978,0.8611368259982969,-0.1388631740017031,0.8652303533238415,-0.1347696466761586,0.9050951432372716,-0.0949048567627282,1.0,0.007309981622185
1714,2015-03-28,253.23161396844,33.136868604833666,256.5618872004676,257.1128409325892,271.7436748351006,262.55459903646727,256.7948083927528,262.54559218696323,235.1084236305152,271.5639568819404,308.0194901333656,-4.030781929144723,-0.0660016827899119,-3.9647802463548114,0.8690407127506208,-0.1309592872493792,0.892892092313951,-0.107107907686049,0.9161669248759438,-0.0838330751240562,1.0,0.0073922703458869
1715,2015-03-29,242.967614260666,27.0858141262009,254.64935382817063,254.54098153769405,270.20222628092733,260.77396405684897,257.0812181297487,261.7778283467163,231.720079034226,269.20583464348334,306.69159025274064,-4.996434607607,-1.0520882677533296,-3.9443463398536704,0.8517755654293705,-0.1482244345706295,0.8457809522086778,-0.1542190477913222,0.8824338970561731,-0.1175661029438268,1.0,0.0077077104534108
1716,2015-03-30,248.336934541204,28.01464448476404,253.1863980713034,253.41297299287768,268.2120774957557,259.64332500997216,257.5672370426651,261.2507344719904,230.07396281713656,267.0066622150789,303.9393616130212,-5.267738824962095,-1.8952183791950827,-3.372520445767012,0.9652168402910364,-0.0347831597089637,0.8522431430022358,-0.1477568569977642,0.8559503809141358,-0.1440496190858642,1.0,0.0076117069424253
1717,2015-03-31,244.712485680888,28.75445125118541,251.5392168907072,251.83106620887952,265.9450347610698,258.2859759800554,258.04611687901814,260.6021756958687,228.98610694403413,264.40762003214485,299.8291331202556,-5.7093977211491165,-2.658054247585889,-3.051343473563227,0.9336858834376872,-0.0663141165623129,0.8578925898940657,-0.1421074101059342,0.8371379480212117,-0.1628620519787884,1.0,0.0067339605562717
1718,2015-04-01,247.185819403857,42.776151553017314,249.36785724722367,250.9864758806936,263.5875342879407,257.27687083676466,258.5720701811805,260.07604407657414,229.0410208447255,261.97689376095843,294.91276667719137,-5.7930594343220605,-3.285055284933124,-2.5080041493889365,0.9399897964968624,-0.0600102035031376,0.9607427747730176,-0.0392572252269822,0.8331357498130697,-0.1668642501869302,1.0,0.0067202457689881
1719,2015-04-02,253.630070426651,44.08580448791837,248.05306499123307,251.467129434504,261.5794259831343,256.9453435267543,259.2547543950906,259.823260796185,229.25221334133,260.3628459672706,291.4734785932112,-5.278517282604213,-3.683747684467342,-1.594769598136871,0.9710770244119312,-0.0289229755880686,0.9677103957886252,-0.0322896042113746,0.8574366962772985,-0.1425633037227015,1.0,0.0061579394903585
1720,2015-04-03,254.83316364699,44.342166713578,248.8528730566919,252.079135654956,260.0995277615429,256.7533271740485,259.8997531092928,259.6275707119029,229.73788096450704,258.9240888369374,288.1102967093678,-4.719258675703003,-3.890849882714474,-0.8284087929885287,0.9476895397937972,-0.0523104602062028,0.9690708561473732,-0.0309291438526266,0.8913023290652483,-0.1086976709347517,1.0,0.0069122527909592
1721,2015-04-04,253.945848626534,44.9011957242683,249.57554424313253,252.41853801342472,258.6870297792992,256.4981018515472,260.24756280537696,259.4047580811041,231.2539324203436,257.25787416715366,283.2618159139637,-4.298095339441261,-3.972298974059832,-0.3257963653814291,0.9518995393271792,-0.0481004606728207,0.9722860488552898,-0.0277139511447102,0.8954104764456738,-0.1045895235543261,1.0,0.0070082563019447
1722,2015-04-05,261.112136177674,44.47185262516181,250.7334585037989,253.9991922251064,257.4414104533689,256.9175595175587,260.3172516130917,259.4717140848912,235.1432182124927,255.74387507305664,276.3445319336206,-3.347473258923713,-3.847333831032608,0.4998605721088949,1.0578404536834478,0.0578404536834478,0.971040176354684,-0.028959823645316,0.9089428310913265,-0.0910571689086736,1.0,0.0072962668349013
1723,2015-04-06,256.367386908241,42.87494517572295,251.63230736411447,254.4297730765854,255.77356611282733,256.8675438258025,260.75568329047337,259.3499757642382,239.05442913013715,254.2998245908825,269.5452200516279,-2.943034553414037,-3.6664739755088944,0.7234394220948572,1.039106209079421,0.0391062090794209,0.9609765184835108,-0.0390234815164891,0.8798020640207997,-0.1201979359792002,1.0,0.0080231505609348
1724,2015-04-07,254.831898012858,57.31653775107499,251.79233576855623,254.50288670136223,254.3251614205004,256.6824851155348,261.1505987142022,259.1727962445762,238.99354262959312,254.17711148451195,269.3606803394308,-2.715116909089005,-3.476202562224917,0.761085653135912,1.0212352858273994,0.0212352858273993,1.03239740041614,0.03239740041614,0.8933683803079658,-0.1066316196920342,1.0,0.0066653866198535
1725,2015-04-08,245.825210403273,49.29656013311527,252.078095382817,252.9251273744369,253.77940190921484,255.6954601416928,261.1889870368206,258.6493615057016,238.22276972384867,253.3637246054938,268.50467948713896,-3.2240896533699868,-3.425779980453931,0.201690327083944,0.9937194000278234,-0.0062805999721766,0.9963767449473696,-0.0036232550526304,0.9554544646678717,-0.0445455353321283,1.0,0.0056779219354307
1726,2015-04-09,243.860636177674,45.47589345093871,251.630465546464,251.27703806593453,252.91119658512144,254.6195670540548,261.3462951139684,258.06941149283773,237.4082612531046,252.40843180888365,267.40860236466267,-3.7428338823744696,-3.489190760838039,-0.2536431215364305,0.9629944395807788,-0.0370055604192212,0.9772681066653304,-0.0227318933346695,0.930435702500857,-0.0695642974991429,1.0,0.0076254217297089
