,Time,Price,RSI,MovingAverage10,EMA10,MovingAverage21,EMA21,MovingAverage50,EMA50,LowerBB,MidBB,UpperBB,MACD1,MACD2,MACD3,Momentum12,RoC12,Momentum14,RoC14,Momentum21,RoC21,signals_30d
49,"""2010-09-05""",0.06165,37.91608775263852,0.06286731034482759,0.06272409923963819,0.06454700982438563,0.06374289632200737,0.06459783255406197,0.06459783255406196,0.05969074062811883,0.06449936031560491,0.06930798000309099,-0.0009189565411220485,-0.000530734428500348,-0.0003882221126217005,0.9484615384615385,-0.05153846153846152,0.9350970041088789,-0.06490299589112113,0.9467438217700459,-0.05325617822995404,0.0
50,"""2010-09-06""",0.0616,40.111328980980204,0.06252731034482759,0.06251971755970397,0.06436129553867136,0.06354808756546124,0.06411303255406195,0.06448027049311836,0.05986273497568809,0.06407936031560492,0.06829598565552175,-0.0009598075745906598,-0.0006165490577184103,-0.00034325851687224947,0.9506172839506174,-0.04938271604938264,0.9490063164381453,-0.05099368356185478,0.9404580152671755,-0.05954198473282443,1.0
51,"""2010-09-07""",0.0612391180596142,38.94326910424626,0.06219122215078902,0.06228688128696037,0.06394411068436726,0.06333818124674787,0.06372181491525424,0.06435316647611819,0.059771303669775906,0.06374131621858561,0.06771132876739533,-0.0010096636949220167,-0.0006951719851591316,-0.00031449170976288504,0.9557395105029047,-0.044260489497095296,0.9421402778402184,-0.05785972215978161,0.8748445437087742,-0.12515545629122582,1.0
52,"""2010-09-08""",0.061,38.85390173440138,0.061891222150789016,0.06205290287114939,0.06361077735103392,0.06312561931522533,0.06344710033898306,0.06422166975156454,0.05956296822973182,0.06345631621858563,0.06734966420743946,-0.0010562935638127116,-0.0007673963008898477,-0.0002888972629228639,0.9384615384615385,-0.06153846153846159,0.9413580246913581,-0.058641975308641944,0.8970588235294117,-0.10294117647058831,1.0
53,"""2010-09-09""",0.0611149707773232,40.99516422590374,0.06150571922852133,0.06188236976318098,0.06334482357852551,0.06294283308450695,0.06308554250146113,0.06409983841924136,0.059334431795120636,0.06323706475745179,0.06713969771978295,-0.0010716179453643948,-0.0008282406297847572,-0.00024337731557963764,0.9460521792155294,-0.0539478207844706,0.9538019832071727,-0.04619801679282736,0.9162664284456253,-0.08373357155437469,1.0
54,"""2010-09-10""",0.0610115242548218,37.22867865105105,0.06160687165400351,0.06172403421620658,0.06313108663827893,0.06276725955453556,0.06313637777907657,0.06397872805985236,0.05924453610233199,0.06296764097019286,0.06669074583805373,-0.0010796642011344781,-0.0008785253440547014,-0.00020113885707977674,0.9533050664815906,-0.04669493351840939,0.9386388346895661,-0.061361165310433875,0.931473652745371,-0.06852634725462904,1.0
55,"""2010-09-11""",0.0636208649912332,47.25337187826606,0.06176647539450614,0.06206891253893869,0.06299874687595669,0.0628448600487808,0.063196937685564,0.06396469421402416,0.05938106266562017,0.06285223477498539,0.06632340688435061,-0.0008655118447604415,-0.0008759226441958496,1.041079943540804e-05,0.9792344927079145,-0.020765507292085487,0.9848431113193994,-0.0151568886806006,0.9581455570968856,-0.04185444290311438,1.0
56,"""2010-09-12""",0.0615,43.53844038086991,0.061576475394506135,0.06196547389549529,0.06278784264284323,0.06272260004434618,0.06333613768556401,0.06386803953896439,0.05930236528298758,0.0626817347749854,0.06606110426698322,-0.0008570510879872956,-0.0008721483329541389,1.50972449668433e-05,1.0250000000000001,0.025000000000000022,0.9609375,-0.039062500000000035,0.9328218289163998,-0.0671781710836002,1.0
57,"""2010-09-13""",0.06218,42.679153992632166,0.06170947539450614,0.062004478641768876,0.06265784264284323,0.06267327276758744,0.06356892531852719,0.06380184190998539,0.05933792612574661,0.0625407347749854,0.06574354342422419,-0.0007864103117349863,-0.0008550007287103084,6.85904169753221e-05,1.002501779042875,0.002501779042874862,0.9570571032784362,-0.04294289672156381,0.9579417655214914,-0.04205823447850865,1.0
58,"""2010-09-14""",0.06199,56.97014234370741,0.061690647808299234,0.06200184616144726,0.0625145093095099,0.06261115706144313,0.06368872531852719,0.0637307892860644,0.05937300241582326,0.062400234774985394,0.06542746713414753,-0.0007372597284975996,-0.0008314525286677667,9.41928001701671e-05,0.9777602523659307,-0.022239747634069315,1.0331666666666668,0.03316666666666676,0.9536923076923077,-0.046307692307692286,1.0
59,"""2010-09-15""",0.0604,44.130105383957314,0.06156564780829924,0.06171060140482048,0.062304985499986094,0.06241014278313012,0.0637242849912332,0.06360017009837561,0.05917120523869779,0.0622164790765634,0.06526175291442901,-0.0008171872233572186,-0.0008285994676056572,1.1412244248438564e-05,0.9926047658175843,-0.00739523418241576,0.9738035936666073,-0.026196406333392652,0.9320987654320988,-0.06790123456790115,1.0
60,"""2010-09-16""",0.0619,44.62949792365695,0.061595647808299236,0.06174503751303494,0.062201408644346104,0.062363766166481927,0.06378406301578025,0.06353349676118442,0.059311485360752814,0.06206147907656342,0.06481147279237402,-0.0007508376854454407,-0.0008130471111736139,6.220942572817323e-05,0.995524548434146,-0.0044754515658540365,0.9763406940063091,-0.023659305993690875,0.9660536855305343,-0.0339463144694657,1.0
61,"""2010-09-17""",0.0600005260081823,46.810002245695024,0.06147178860315605,0.06142785360306172,0.06196333845425956,0.062148926152091055,0.0635860735359439,0.06339494888851767,0.05920903599640718,0.06183150537697254,0.06445397475753789,-0.000841822865227132,-0.0008188022619843176,-2.302060324281443e-05,0.9732445419007671,-0.026755458099232812,0.9860398686636368,-0.0139601313363632,0.9230850155104969,-0.0769149844895031,1.0
62,"""2010-09-18""",0.061,45.46323057103383,0.06147178860315605,0.061350062038868676,0.06179190988283099,0.06204447832008278,0.0635129259029807,0.06330102932426208,0.05924466427644273,0.061681505376972534,0.06411834647750234,-0.0008237840082703299,-0.0008197986112415201,-3.985397028809755e-06,0.9902597402597402,-0.009740259740259794,0.9810500396523895,-0.01894996034761057,0.9442724458204333,-0.05572755417956665,1.0
63,"""2010-09-19""",0.0627,53.70826322953431,0.06163029152542372,0.06159550530452891,0.061730005120926225,0.06210407120007526,0.06341600992402104,0.06327745954684004,0.05961207439550245,0.06156800537697253,0.06352393635844261,-0.0006646506131244567,-0.0007887690116181074,0.00012411839849365072,1.02385537196933,0.02385537196932995,1.0170316301703164,0.01703163017031634,0.9796875,-0.02031249999999993,1.0
64,"""2010-09-20""",0.0621017358270018,51.70590728347132,0.06173931268264173,0.06168754721770579,0.06159342111268821,0.062103858893432215,0.06343604464056107,0.06323135273429736,0.059850585151395685,0.06167309216832262,0.06349559918524955,-0.0005801238630570305,-0.0007470399819058921,0.00016691611884886166,1.0180612430656033,0.018061243065603277,1.0081450621266526,0.008145062126652542,0.95585248309992,-0.04414751690008006,1.0
